M,Train Ac,Train avgAc,Test Ac,Test avgAc
512, 79.003975, 58.45409, 63.518517, 43.4384
1024, 87.117134, 67.60783, 63.518517, 45.32554
2048, 96.42273, 87.53162, 63.24074, 45.4383
4096, 99.696045, 98.38814, 65.46297, 48.670086
