# 3783 training vectors. (ε = 0.0005)
M,passes,DDprm,σ,inertia
2,3,1.367630,1.716807,27528.278626
4,7,0.964867,2.033825,17174.845123
8,9,0.649592,3.390051,11176.610335
16,17,0.412055,6.538369,7853.144318
32,13,0.264357,11.861708,6172.238849
64,13,0.185880,18.520163,5365.995588
128,15,0.150699,23.379012,5025.006672
256,12,0.126795,28.723250,4812.380465
512,11,0.106699,35.485304,4638.710215
1024,8,0.087992,44.277392,4481.648767
2048,7,0.068310,57.105460,4321.016578
