# 47116 training vectors. (ε = 0.0005)
M,passes,DDprm,σ,inertia
2,16,0.342990,0.907785,87544.854176
4,29,0.263274,1.473212,76562.185836
8,13,0.223430,2.010124,71355.489129
16,11,0.197792,2.604514,68178.729758
32,16,0.177141,3.295473,65688.520656
64,14,0.160115,4.303648,63686.654401
128,14,0.146109,5.300849,62085.651530
256,17,0.133031,6.384797,60622.502159
512,15,0.120653,7.627146,59264.843622
1024,13,0.107938,9.180806,57896.440092
2048,12,0.095206,11.173874,56555.371622
