length
66
71
79
66
89
69
58
69
63
43
62
79
46
76
72
69
64
57
68
60
62
63
52
69
89
72
66
141
64
71
79
77
55
56
76
77
39
76
70
89
41
57
68
47
53
68
54
60
91
76
69
70
63
95
53
55
97
58
78
74
83
47
73
67
54
89
82
62
141
79
44
80
62
73
70
74
73
59
82
122
71
74
97
62
73
95
44
61
103
67
81
62
81
82
105
39
39
133
80
88
60
78
66
45
82
63
121
74
82
70
76
55
69
49
38
55
114
60
81
97
56
70
64
42
142
68
71
113
151
57
49
41
62
42
111
57
57
94
46
59
42
55
58
55
52
66
45
46
44
62
87
63
69
82
60
75
81
82
74
81
77
55
69
70
54
69
64
55
52
53
98
44
80
67
100
58
76
101
61
55
46
88
71
70
64
109
47
74
68
48
68
52
147
53
57
68
69
57
49
47
53
51
86
67
71
86
83
50
61
56
110
61
63
79
75
119
64
105
74
53
80
71
94
56
66
75
116
59
98
72
89
60
74
74
76
45
75
57
71
178
59
44
79
32
80
103
46
33
81
72
37
65
65
75
47
54
75
146
118
48
66
51
41
65
72
33
96
84
73
45
110
64
78
82
83
58
74
50
64
74
46
71
66
68
77
77
77
100
63
114
71
38
76
63
49
64
36
67
84
59
37
71
107
75
66
46
56
60
92
65
57
56
73
43
69
73
60
69
84
46
65
51
74
82
