M,Train Ac,Train avgAc,Test Ac,Test avgAc
512, 52.23464, 58.003273, 48.490566, 49.83279
1024, 78.398506, 83.3423, 72.16981, 67.926865
2048, 82.56518, 86.49914, 76.320755, 72.334274
4096, 86.615456, 89.27098, 77.547165, 70.07897
