  N  ,    M ,   a  ,  I  ,  Train Ac,Train avgAc ,    Test Ac , Test avgAc
  9  , 2048 ,  0.3 ,   1 ,   89.41  ,  93.26     ,    79.34   ,   71.86
  9  , 2048 ,  0.3 ,   2 ,   89.92  ,  93.27     ,    79.15   ,   70.77
  9  , 2048 ,  0.3 ,   5 ,   87.50  ,  89.20     ,    76.89   ,   71.53
  9  , 2048 ,  0.3 ,   5 ,   87.5   ,  89.2 , 76.89,  71.53
 16  , 2048 ,  0.3 ,   0 ,   91.69  ,  94.65     ,    79.25   ,   71.72
 16  , 2048 ,  0.3 ,   1 ,   92.81  ,  95.41     ,    78.87   ,   70.74
 16  , 2048 ,  0.3 ,   5 ,   91.22  ,  93.79     ,    78.21   ,   70.10
 16  , 2048 ,  0.3 ,  10 ,   90.67  ,  91.72     ,    78.02   ,   68.06
 16  , 2048 ,  0.3 ,  15 ,   91.27  ,  91.84     ,    77.36   ,   66.45
 32  , 2048 ,  0.3 ,     ,   96.42  ,            ,    77.45   ,
 64  , 2048 ,  0.3 ,     ,   97.67  ,            ,    77.55   ,
 80  , 2048 ,  0.3 ,     ,   97.74  ,            ,    78.40   ,
100  , 2048 ,  0.3 ,     ,   97.28  ,            ,    77.64   ,
128  , 2048 ,  0.3 ,     ,   97.60  ,  97.94     ,    80.85   ,   67.54
9, 2048, 0.3, 5, 87.5, 89.2, 76.89, 71.53
