M,Train Ac,Train avgAc,Test Ac,Test avgAc
512, 67.73743, 45.56622, 54.90566, 34.734776
1024, 88.291435, 69.69811, 68.86792, 51.801006
2048, 95.693665, 84.98717, 71.603775, 54.81991
4096, 99.48789, 97.31226, 71.320755, 55.904613
