M,Train Ac,Train avgAc,Test Ac,Test avgAc
512, 74.93017, 79.11412, 69.5283, 67.64075
1024, 79.32961, 83.44786, 72.07548, 68.38432
2048, 84.264435, 88.21389, 76.22641, 71.23979
4096, 87.919, 90.71538, 77.73585, 69.02337
