# 32863 training vectors. (ε = 0.0005)
M,passes,DDprm,σ,inertia
2,3,0.302422,7.215847,56708.928483
4,7,0.211423,6.272896,48542.442922
8,13,0.165523,6.402222,44809.167583
16,7,0.142887,7.460892,43025.021387
32,11,0.129328,8.342743,41986.641858
64,11,0.119058,8.964047,41206.460922
128,16,0.110914,9.684773,40596.118731
256,13,0.103922,10.442625,40077.882628
512,13,0.097187,11.419892,39583.582668
1024,12,0.090649,12.411961,39108.464893
2048,11,0.083721,13.654071,38610.125830
