M,Train Ac,Train avgAc,Test Ac,Test avgAc
32, 71.296295, 61.559288, 71.296295, 61.559288
64, 71.296295, 61.559288, 71.296295, 61.559288
128, 71.296295, 61.559288, 71.296295, 61.559288
256, 71.296295, 61.559288, 71.296295, 61.559288
512, 69.65163, 77.09838, 64.53703, 61.53524
1024, 75.005844, 82.00162, 69.166664, 65.180984
2048, 79.65864, 84.858894, 71.203705, 65.70799
4096, 83.44634, 86.63942, 71.296295, 61.559288
