# 15239 training vectors. (ε = 0.0005)
M,passes,DDprm,σ,inertia
2,11,0.294971,0.947489,25908.382242
4,9,0.243469,1.391723,23805.143627
8,13,0.210028,1.803326,22474.599243
16,11,0.185294,2.227099,21509.407980
32,15,0.163681,2.867147,20700.443700
64,13,0.146733,3.481777,20084.315907
128,15,0.131445,4.188388,19539.463353
256,15,0.116331,5.145333,19011.079799
512,14,0.102695,6.258695,18543.511644
1024,11,0.089448,7.677738,18096.725776
2048,8,0.075942,9.725308,17649.150768
