N,M,a,I,Train Ac,Train avgAc,Test Ac,Test avgAc
4, 1024, 0.3, 1, 86.56, 90.78, 76.93, 70.52
4, 1024, 0.3, 2, 87.26, 90.62, 76.35, 69.49
4, 1024, 0.3, 5, 84.89, 86.55, 73.58, 65.99
4, 2048, 0.3, 0, 90.67, 94.17, 79.85, 74.04
4, 2048, 0.3, 1, 91.7, 94.84, 80.29, 73.3
4, 2048, 0.3, 2, 92.15, 95.08, 79.85, 73.22
4, 2048, 0.3, 5, 91.41, 92.68, 79.12, 72.41
4, 4096, 0.3, 0, 93.89, 96.34, 80.29, 72.25
4, 4096, 0.3, 1, 94.33, 96.57, 81.17, 72.9
4, 4096, 0.3, 2, 94.52, 96.67, 81.02, 72.93
4, 4096, 0.3, 5, 94.85, 96.12, 81.61, 72.98
5, 256, 0.3, 0, 75.96, 79.79, 69.64, 71.11
5, 256, 0.3, 1, 76.52, 80.36, 69.49, 67.25
5, 256, 0.3, 2, 74.04, 77.55, 67.74, 67.19
5, 256, 0.3, 5, 72.89, 75.93, 66.42, 62.88
5, 512, 0.3, 0, 80.07, 84.36, 72.26, 72.21
5, 512, 0.3, 1, 82.04, 86.61, 74.45, 73.94
5, 512, 0.3, 2, 79.52, 83.46, 73.72, 73.47
5, 512, 0.3, 5, 80.33, 82.49, 72.85, 68.03
5, 1024, 0.3, 0, 86.37, 89.61, 75.91, 69.56
5, 1024, 0.3, 1, 86.81, 90.91, 77.37, 70.82
5, 1024, 0.3, 2, 87.59, 90.28, 75.77, 69.32
5, 1024, 0.3, 5, 83.52, 85.25, 72.55, 66.18
5, 2048, 0.3, 0, 90.33, 94.06, 79.12, 74.04
5, 2048, 0.3, 1, 91.93, 94.95, 80.44, 74.77
5, 2048, 0.3, 2, 92.41, 95.26, 79.85, 73.46
5, 2048, 0.3, 5, 90.26, 91.91, 77.96, 70.5
5, 4096, 0.3, 0, 94, 96.5, 80.29, 72.33
5, 4096, 0.3, 1, 94.85, 96.96, 81.02, 73
5, 4096, 0.3, 2, 94.67, 96.81, 81.31, 73.28
5, 4096, 0.3, 5, 96.07, 97.65, 81.75, 72.49
6, 256, 0.3, 0, 76.44, 79.72, 70.36, 71.86
6, 256, 0.3, 1, 75.7, 78.74, 70.07, 69.58
6, 256, 0.3, 2, 74.7, 76.76, 68.61, 68.26
6, 256, 0.3, 5, 74.26, 77.68, 67.59, 66.06
6, 512, 0.3, 0, 81.59, 85.62, 73.43, 73.4
6, 512, 0.3, 1, 82.33, 86.14, 74.74, 74.34
6, 512, 0.3, 2, 81.37, 84.32, 74.16, 73.36
6, 512, 0.3, 5, 80.37, 81.67, 75.33, 70.46
6, 1024, 0.3, 0, 86.81, 90.58, 75.47, 69.3
6, 1024, 0.3, 1, 87.48, 91.23, 77.23, 70.64
