M,Train Ac,Train avgAc,Test Ac,Test avgAc
256, 73.59259, 77.71077, 67.59124, 68.23667
512, 77.888885, 81.55404, 71.240875, 72.29742
1024, 82.5926, 85.07869, 74.30657, 68.494835
2048, 87.18519, 90.10336, 78.9781, 72.908844
4096, 90.18518, 91.810936, 80.29197, 70.96815
