M,Train Ac,Train avgAc,Test Ac,Test avgAc
512, 85.96297, 68.288895, 73.284676, 54.706615
1024, 90.81482, 77.620735, 72.11678, 56.019054
2048, 97.44444, 89.88949, 73.13869, 56.096653
4096, 99.85185, 99.367325, 73.284676, 60.570614
