M,Train Ac,Train avgAc,Test Ac,Test avgAc
32, 60.05976, 63.38716, 58.019806, 61.51595
64, 65.46315, 69.404884, 63.168316, 66.74111
128, 69.646416, 73.11842, 65.44554, 69.258446
256, 74.05378, 77.31877, 72.57426, 74.934654
512, 77.26594, 80.409256, 73.46535, 75.67968
1024, 79.681274, 82.5937, 74.55446, 77.04903
2048, 82.719124, 85.31146, 74.95049, 77.60254
4096, 85.80678, 88.21871, 75.74257, 78.03629
