# 46490 training vectors. (ε = 0.0005)
M,passes,DDprm,σ,inertia
2,23,0.610473,1.008822,143426.080507
4,9,0.461809,1.757175,108537.007421
8,20,0.317887,4.535628,83828.690225
16,10,0.249159,6.449400,74312.525796
32,13,0.202861,8.302290,68119.165646
64,16,0.172713,11.137940,64396.294683
128,20,0.149783,13.364838,61718.628140
256,20,0.132729,15.900449,59793.350491
512,14,0.118564,18.829352,58254.379438
1024,14,0.106304,21.834873,56958.038095
2048,12,0.094872,25.671959,55768.231372
