M,Train Ac,Train avgAc,Test Ac,Test avgAc
32, 64.057335, 65.12146, 62.67837, 63.77118
64, 69.07387, 70.64401, 67.39847, 68.84321
128, 74.173096, 75.78741, 73.87486, 75.15582
256, 77.37045, 79.03427, 75.740944, 76.75147
512, 79.87872, 81.43128, 77.93633, 78.95803
1024, 82.138916, 83.77646, 79.1438, 80.21025
2048, 85.66703, 87.06624, 80.351265, 81.30547
4096, 88.23043, 89.317986, 80.13172, 81.10706
