# 1854 training vectors. (ε = 0.0005)
M,passes,DDprm,σ,inertia
2,3,0.571962,4.512723,5207.260489
4,6,0.450628,3.697958,4205.415847
8,8,0.337787,4.490227,3514.581315
16,18,0.235670,7.272379,2865.227369
32,8,0.185524,9.919925,2622.376655
64,12,0.148773,12.955758,2455.657150
128,10,0.122096,16.578280,2338.594712
256,11,0.100626,20.966764,2248.503532
512,11,0.081355,26.870277,2169.734105
1024,9,0.063532,32.212426,2098.849030
2048,6,0.045715,35.066645,2029.228466
