M,Test Ac,Test avgAc
32, 67.03297, 71.109055
64, 70.76923, 73.390236
128, 77.14286, 79.71282
256, 79.45055, 82.03683
512, 83.40659, 85.52937
1024, 83.07693, 85.67352
2048, 83.62637, 85.97461
4096, 84.17583, 86.365685
32, 67.03297, 71.109055
64, 70.76923, 73.390236
128, 77.14286, 79.71282
256, 79.45055, 82.03683
512, 83.40659, 85.52937
1024, 83.07693, 85.67352
2048, 83.62637, 85.97461
4096, 84.17583, 86.365685
