N,M,a,I,Train Ac,Train avgAc,Test Ac,Test avgAc
1, 2048, 0, 8, 88.1, 89.64, 84.4, 86.38
1, 2048, 0, 9, 88.1, 89.64, 84.4, 86.38
1, 2048, 0, 10, 88.1, 89.64, 84.4, 86.38
2, 512, 0, 0, 83.3, 85.83, 81.32, 84
2, 512, 0, 1, 83.19, 85.68, 82.2, 85.03
2, 512, 0, 2, 83.55, 85.56, 81.1, 84.08
2, 512, 0, 3, 83.38, 85.4, 80.33, 83.57
2, 512, 0, 4, 83.08, 84.99, 80.22, 83.18
2, 512, 0, 5, 81.1, 83.32, 77.25, 80.18
2, 512, 0, 6, 81.04, 83.2, 77.03, 79.85
2, 512, 0, 7, 79.97, 82.18, 75.71, 79.14
2, 512, 0, 8, 79.33, 82, 74.29, 78.04
2, 512, 0, 9, 79, 81.59, 74.29, 77.7
2, 512, 0, 10, 79.2, 82, 74.07, 77.69
2, 1024, 0, 0, 86.3, 88.28, 83.52, 85.57
2, 1024, 0, 1, 86.72, 88.68, 82.64, 85.03
2, 1024, 0, 2, 86.44, 88.38, 82.2, 85.18
2, 1024, 0, 3, 85.89, 87.85, 81.54, 84.28
2, 1024, 0, 4, 85.95, 87.87, 81.1, 83.91
2, 1024, 0, 5, 85.59, 87.74, 80.44, 83.71
2, 1024, 0, 6, 84.87, 87.05, 80.33, 83.55
2, 1024, 0, 7, 82.78, 85.34, 78.02, 81.27
2, 1024, 0, 8, 81.9, 84.59, 76.92, 80.22
2, 1024, 0, 9, 81.32, 84.41, 75.93, 79.49
2, 1024, 0, 10, 80.55, 83.59, 74.62, 78.36
2, 2048, 0, 0, 89.03, 90.44, 85.16, 87.12
2, 2048, 0, 1, 89.09, 90.29, 84.73, 86.92
2, 2048, 0, 2, 89.2, 90.48, 84.07, 86.1
2, 2048, 0, 3, 88.87, 90.44, 83.63, 86.02
2, 2048, 0, 4, 88.4, 90.17, 82.42, 84.95
2, 2048, 0, 5, 88.48, 90.11, 82.64, 85.07
2, 2048, 0, 6, 88.65, 90.44, 82.42, 84.79
2, 2048, 0, 7, 88.54, 90.5, 82.42, 84.9
2, 2048, 0, 8, 88.29, 90.25, 81.87, 84.42
2, 2048, 0, 9, 88.29, 90.31, 81.43, 84.07
2, 2048, 0, 10, 88.32, 90.22, 81.21, 83.57
3, 512, 0, 0, 82.94, 85.63, 81.76, 84.22
3, 512, 0, 1, 83.47, 85.91, 81.76, 84.59
