M,Train Ac,Train avgAc,Test Ac,Test avgAc
32, 77.10113, 78.47528, 72.30769, 74.85162
64, 83.10829, 84.428696, 75.82418, 77.85499
128, 86.08432, 87.07292, 78.57143, 79.17416
256, 88.23367, 89.08471, 77.91209, 79.1194
512, 91.182144, 91.77319, 77.69231, 79.87317
1024, 95.61863, 96.13287, 76.7033, 79.048256
2048, 99.20088, 99.30156, 75.49451, 79.198074
4096, 99.97244, 99.97428, 75.16483, 79.112915
