index,cardinality,distortion
354,50,0.111151
355,68,0.118995
356,37,0.136671
357,48,0.125457
358,15,0.106996
359,64,0.136872
360,29,0.132702
361,24,0.131433
362,23,0.158100
363,49,0.136126
364,35,0.152072
365,29,0.160695
366,39,0.140193
367,23,0.139625
368,41,0.145966
369,37,0.128947
370,18,0.101032
371,16,0.107042
372,36,0.138619
373,41,0.154302
374,44,0.141164
375,44,0.118309
376,44,0.128272
377,43,0.110914
378,48,0.117068
379,18,0.133759
380,35,0.166264
381,31,0.170219
382,30,0.141764
383,27,0.176724
384,26,0.120253
385,31,0.119225
386,25,0.134429
387,50,0.144997
388,57,0.137452
389,30,0.109289
390,53,0.133520
391,55,0.118734
392,53,0.119597
393,128,0.117336
394,44,0.161292
395,24,0.123766
396,45,0.121353
397,21,0.167499
398,25,0.132517
399,14,0.167970
400,20,0.130108
401,28,0.134344
402,31,0.149197
403,15,0.142480
404,14,0.124331
405,31,0.133593
406,23,0.142252
407,33,0.178142
408,42,0.154109
409,22,0.159185
410,31,0.154757
411,22,0.130737
412,35,0.183410
413,16,0.171454
414,40,0.152959
415,51,0.157307
416,23,0.140581
417,26,0.126287
418,16,0.123434
419,44,0.141389
420,30,0.136305
421,41,0.128962
422,33,0.124318
423,40,0.132953
424,29,0.151094
425,23,0.152463
426,28,0.157658
427,27,0.184338
428,23,0.167488
429,35,0.151524
430,24,0.181540
431,24,0.214362
432,73,0.124432
433,44,0.148334
434,36,0.140545
435,45,0.159119
436,48,0.132117
437,42,0.145666
438,25,0.135176
439,16,0.181986
440,65,0.147970
441,48,0.151206
442,23,0.156636
443,39,0.142676
444,21,0.166459
445,21,0.147569
446,27,0.176943
447,20,0.148550
448,28,0.118678
449,45,0.129989
450,69,0.109900
451,67,0.123700
452,76,0.108422
453,107,0.101779
454,33,0.133278
455,48,0.140818
456,34,0.153053
457,27,0.115377
458,44,0.139011
459,33,0.152900
460,34,0.123419
461,32,0.162318
462,24,0.177051
463,11,0.154897
464,42,0.128416
465,38,0.122805
466,33,0.144972
467,36,0.152806
468,27,0.141700
469,47,0.156652
470,27,0.174722
471,25,0.117434
472,34,0.130149
473,26,0.146738
474,34,0.132646
475,21,0.091906
476,16,0.089533
477,28,0.180531
478,16,0.152687
479,24,0.164876
480,35,0.127403
481,42,0.123136
482,37,0.132656
483,27,0.149202
484,53,0.125363
485,89,0.124546
486,59,0.128552
487,41,0.138776
488,40,0.124789
489,58,0.123130
490,51,0.114202
491,49,0.131482
492,56,0.131807
493,44,0.152630
494,56,0.146041
495,33,0.125237
496,60,0.130219
497,25,0.152895
498,42,0.143982
499,23,0.165553
500,48,0.112599
501,33,0.110933
502,42,0.141173
503,35,0.134006
504,27,0.154267
505,29,0.135131
506,61,0.134230
507,61,0.139760
508,46,0.126830
509,66,0.132308
510,68,0.136757
511,55,0.132602
512,23,0.133184
513,19,0.149808
514,27,0.136595
515,17,0.147995
516,16,0.149999
517,25,0.157389
518,37,0.141427
519,52,0.137233
520,13,0.191574
521,21,0.183449
522,7,0.084333
523,4,0.142828
524,16,0.140862
525,9,0.116658
526,4,0.137797
527,6,0.125571
528,28,0.148700
529,23,0.158111
530,20,0.130534
531,15,0.143506
532,20,0.161619
533,30,0.147054
534,26,0.147681
535,14,0.145421
536,10,0.179432
537,21,0.175443
538,10,0.137255
539,8,0.137255
540,27,0.143887
541,30,0.140355
542,41,0.147033
543,21,0.128835
544,12,0.119148
545,10,0.118865
546,33,0.159256
547,12,0.139080
548,14,0.168452
549,28,0.179230
550,15,0.151209
551,16,0.161831
552,61,0.108447
553,74,0.121306
554,77,0.127623
555,43,0.124202
556,13,0.151640
557,19,0.128806
558,27,0.127286
559,47,0.161473
560,29,0.133540
561,25,0.108923
562,24,0.198728
563,19,0.132236
564,49,0.145293
565,37,0.142579
566,58,0.117054
567,81,0.113139
568,25,0.110302
569,33,0.128141
570,76,0.105766
571,57,0.111538
572,64,0.104520
573,29,0.145579
574,26,0.096894
575,74,0.117884
576,30,0.109486
577,58,0.135284
578,69,0.099905
579,91,0.094269
580,88,0.111733
581,112,0.098508
582,92,0.105079
583,67,0.117697
584,72,0.106144
585,66,0.109961
586,64,0.112959
587,85,0.105364
588,58,0.100829
589,37,0.157523
590,67,0.100920
591,67,0.110729
592,91,0.104797
593,74,0.119129
594,87,0.114621
595,42,0.123963
596,104,0.091334
597,93,0.095920
598,138,0.092780
599,131,0.092400
600,93,0.099505
601,79,0.105987
602,74,0.103946
603,44,0.129912
604,46,0.130113
605,60,0.125730
606,43,0.124295
607,78,0.111867
608,12,0.112379
609,15,0.140533
610,12,0.085458
611,11,0.129116
612,50,0.148446
613,51,0.158358
614,25,0.164604
615,17,0.207248
616,38,0.124652
617,47,0.149099
618,29,0.141672
619,22,0.192742
620,32,0.137543
621,19,0.120855
622,28,0.150073
623,21,0.165073
624,59,0.121644
625,64,0.126331
626,31,0.134945
627,78,0.127134
628,87,0.119845
629,53,0.137278
630,55,0.135779
631,37,0.153789
632,50,0.125863
633,46,0.136926
634,47,0.117055
635,38,0.105029
636,80,0.109304
637,88,0.110005
638,59,0.150490
639,44,0.141596
640,23,0.144891
641,19,0.161731
642,27,0.124697
643,23,0.108958
644,49,0.145257
645,24,0.166691
646,8,0.090087
647,8,0.094323
648,8,0.091534
649,11,0.128425
650,10,0.125870
651,12,0.141826
652,17,0.187711
653,4,0.068481
654,6,0.071740
655,15,0.126622
656,14,0.151813
657,13,0.119959
658,37,0.111264
659,17,0.114415
660,40,0.132355
661,60,0.118339
662,52,0.116184
663,59,0.120192
664,21,0.154738
665,42,0.134192
666,33,0.139646
667,20,0.162947
668,21,0.154040
669,31,0.158927
670,25,0.149144
671,22,0.154381
672,40,0.110780
673,60,0.131491
674,27,0.159631
675,21,0.176200
676,15,0.128921
677,25,0.166724
678,29,0.139766
679,28,0.116498
680,37,0.138471
681,20,0.195485
682,43,0.123614
683,80,0.109100
684,19,0.143227
685,29,0.123527
686,30,0.140245
687,26,0.170081
688,19,0.108339
689,14,0.096843
690,7,0.128932
691,30,0.114860
692,40,0.116740
693,22,0.162593
694,14,0.137591
695,15,0.121210
696,20,0.110513
697,12,0.073245
698,11,0.080192
699,8,0.075029
700,23,0.079870
701,17,0.124939
702,7,0.069371
703,8,0.086784
704,91,0.113316
705,99,0.096214
706,35,0.119207
707,121,0.099896
708,131,0.089460
709,149,0.091565
710,142,0.089274
711,124,0.092430
712,130,0.090033
713,129,0.092282
714,77,0.103972
715,78,0.097049
716,94,0.103154
717,106,0.106370
718,145,0.092438
719,126,0.094535
720,96,0.096364
721,122,0.095133
722,117,0.099317
723,56,0.109190
724,147,0.090496
725,142,0.096907
726,167,0.089524
727,150,0.089883
728,99,0.098490
729,132,0.089847
730,112,0.097403
731,83,0.108501
732,54,0.115219
733,45,0.109365
734,54,0.142083
735,54,0.123517
736,66,0.115978
737,44,0.129809
738,133,0.098057
739,91,0.117004
740,138,0.101966
741,113,0.106496
742,72,0.115580
743,207,0.094886
744,23,0.129353
745,35,0.134750
746,55,0.143568
747,37,0.140754
748,22,0.128048
749,24,0.103250
750,32,0.127818
751,25,0.126661
752,95,0.121347
753,82,0.126373
754,95,0.119971
755,60,0.129485
756,86,0.112158
757,100,0.110806
758,47,0.121945
759,28,0.133972
760,148,0.088639
761,128,0.097586
762,153,0.093936
763,71,0.112520
764,114,0.094091
765,115,0.096934
766,137,0.095209
767,141,0.092782
768,45,0.154336
769,31,0.154100
770,28,0.180922
771,26,0.136308
772,31,0.115986
773,62,0.106420
774,36,0.145664
775,40,0.136864
776,50,0.162851
777,31,0.114484
778,40,0.132156
779,61,0.138718
780,47,0.135833
781,32,0.147366
782,56,0.137369
783,39,0.114917
784,30,0.100711
785,19,0.096165
786,84,0.105355
787,109,0.117748
788,63,0.108415
789,65,0.129289
790,8,0.086459
791,39,0.131168
792,54,0.129514
793,43,0.130749
794,15,0.126540
795,44,0.125332
796,27,0.089913
797,54,0.098839
798,30,0.117945
799,45,0.106313
800,54,0.114395
801,46,0.135283
802,28,0.121872
803,35,0.139074
804,83,0.114073
805,69,0.132402
806,75,0.126393
807,56,0.117768
808,37,0.164899
809,36,0.157004
810,40,0.151217
811,63,0.132194
812,53,0.141555
813,36,0.150859
814,57,0.135506
815,48,0.118466
816,50,0.127894
817,94,0.122812
818,34,0.145336
819,47,0.124758
820,59,0.136659
821,92,0.122154
822,42,0.136181
823,24,0.149078
824,39,0.137339
825,59,0.116691
826,36,0.113889
827,32,0.108952
828,94,0.101387
829,87,0.092589
830,45,0.104146
831,64,0.110905
832,62,0.105527
833,99,0.110257
834,76,0.107595
835,97,0.111518
836,28,0.115438
837,97,0.101863
838,98,0.095296
839,144,0.092567
840,122,0.100560
841,138,0.097929
842,122,0.092245
843,145,0.092807
844,114,0.089036
845,125,0.090301
846,100,0.096918
847,99,0.090193
848,90,0.105475
849,63,0.106094
850,117,0.095215
851,85,0.100890
852,42,0.105687
853,66,0.095970
854,68,0.097801
855,57,0.108596
856,87,0.106341
857,51,0.110015
858,51,0.106003
859,41,0.107096
860,65,0.100845
861,64,0.094702
862,88,0.093146
863,68,0.097718
864,65,0.131079
865,58,0.116839
866,92,0.100593
867,85,0.101793
868,41,0.119213
869,59,0.124835
870,111,0.106385
871,90,0.102791
872,65,0.133701
873,76,0.133522
874,109,0.097281
875,106,0.102250
876,108,0.104811
877,114,0.098661
878,148,0.094725
879,140,0.103217
880,44,0.167603
881,94,0.113910
882,92,0.116152
883,84,0.116097
884,88,0.111902
885,103,0.103716
886,82,0.105886
887,80,0.099443
888,119,0.096295
889,126,0.105170
890,139,0.097636
891,102,0.098568
892,84,0.114967
893,109,0.098588
894,121,0.092761
895,108,0.094611
896,76,0.101024
897,108,0.092193
898,114,0.096652
899,92,0.104654
900,133,0.092610
901,165,0.088421
902,120,0.099323
903,101,0.109098
904,56,0.114012
905,38,0.127893
906,26,0.107623
907,34,0.156241
908,82,0.107260
909,91,0.099023
910,22,0.133593
911,108,0.093441
912,96,0.095126
913,127,0.095750
914,122,0.092247
915,127,0.095463
916,155,0.091049
917,149,0.090388
918,156,0.089627
919,153,0.089297
920,73,0.115516
921,97,0.103410
922,100,0.100391
923,118,0.096939
924,124,0.095836
925,145,0.093995
926,118,0.094281
927,130,0.089617
928,113,0.096113
929,119,0.091589
930,44,0.110115
931,70,0.104812
932,159,0.091152
933,142,0.095010
934,99,0.108543
935,138,0.091129
936,100,0.103555
937,149,0.090656
938,176,0.092880
939,162,0.090047
940,152,0.094313
941,154,0.089564
942,143,0.094807
943,143,0.086975
944,104,0.102062
945,154,0.092911
946,145,0.092265
947,131,0.092587
948,154,0.087949
949,134,0.090625
950,159,0.090172
951,122,0.086136
952,110,0.092166
953,123,0.089422
954,135,0.087863
955,147,0.090276
956,125,0.091922
957,128,0.090578
958,122,0.083881
959,103,0.088003
960,49,0.146238
961,38,0.134861
962,50,0.144818
963,94,0.111740
964,47,0.151721
965,47,0.137922
966,45,0.140650
967,25,0.162475
968,80,0.111680
969,68,0.130092
970,94,0.110332
971,79,0.112156
972,52,0.124567
973,57,0.113339
974,85,0.100457
975,35,0.110480
976,42,0.123539
977,40,0.099508
978,75,0.106668
979,75,0.111114
980,124,0.091971
981,100,0.099856
982,51,0.120865
983,110,0.093333
984,55,0.142091
985,42,0.136322
986,99,0.105924
987,118,0.100076
988,45,0.118540
989,92,0.106961
990,131,0.093040
991,100,0.095704
992,88,0.097524
993,53,0.097713
994,102,0.087301
995,103,0.092878
996,58,0.113000
997,80,0.093575
998,100,0.094198
999,88,0.095390
1000,102,0.098068
1001,134,0.089310
1002,129,0.092472
1003,122,0.088887
1004,103,0.090129
1005,106,0.093037
1006,103,0.090755
1007,129,0.090528
1008,82,0.116733
1009,86,0.101394
1010,64,0.114813
1011,119,0.098290
1012,165,0.099390
1013,150,0.095431
1014,101,0.112933
1015,127,0.094773
1016,96,0.100270
1017,121,0.088402
1018,139,0.090977
1019,135,0.089257
1020,121,0.088683
1021,144,0.091759
1022,148,0.093785
1023,118,0.095103
