# 55729 training vectors. (ε = 0.0005)
M,passes,DDprm,σ,inertia
2,10,0.316007,0.942327,99821.794859
4,8,0.261520,1.315902,90908.568629
8,9,0.231354,1.780832,85976.596085
16,13,0.202499,2.796145,81607.887919
32,13,0.183554,3.466603,78816.952630
64,13,0.167567,4.382821,76512.268003
128,15,0.152149,5.181477,74331.471257
256,16,0.138317,6.158152,72447.896416
512,17,0.124774,7.544075,70653.158728
1024,14,0.111456,9.262719,68936.304924
2048,13,0.098207,11.396746,67268.800462
