# 2901 training vectors. (ε = 0.0005)
M,passes,DDprm,σ,inertia
2,3,0.259040,8.777958,4651.856623
4,5,0.184378,9.445800,4093.333440
8,9,0.150389,8.197242,3851.360781
16,9,0.131092,8.851106,3719.014429
32,16,0.114326,9.541796,3605.861156
64,13,0.102191,10.685799,3526.355710
128,12,0.092262,11.876118,3462.682795
256,13,0.082980,13.480752,3403.805749
512,9,0.073501,15.566786,3344.403685
1024,7,0.062997,18.029284,3279.244935
2048,6,0.049063,22.662884,3194.082402
