# 7232 training vectors. (ε = 0.0005)
M,passes,DDprm,σ,inertia
2,3,0.251927,13.509384,11509.735259
4,8,0.165839,11.508273,9872.400137
8,10,0.132174,12.994147,9285.482422
16,10,0.117481,14.221802,9041.878232
32,9,0.109840,14.699905,8916.042809
64,13,0.103347,15.384513,8810.176076
128,11,0.097611,16.306600,8717.644175
256,14,0.091525,17.579144,8620.322686
512,10,0.084820,19.184899,8513.988572
1024,10,0.076903,21.443480,8389.932828
2048,7,0.067714,24.777067,8247.076305
