# 1252 training vectors. (ε = 0.0005)
M,passes,DDprm,σ,inertia
2,3,0.600564,4.882902,3485.665713
4,13,0.367250,6.289520,2441.801725
8,6,0.250088,8.607984,2002.002637
16,15,0.171262,14.293601,1732.024928
32,18,0.130364,19.686012,1602.479773
64,12,0.108565,24.102649,1540.077454
128,9,0.093773,28.387826,1498.767025
256,11,0.081290,32.626856,1464.751023
512,8,0.068040,37.173232,1429.039304
1024,6,0.052142,43.177769,1386.981719
2048,5,0.033880,48.990708,1339.308491
