# 11952 training vectors. (ε = 0.0005)
M,passes,DDprm,σ,inertia
2,10,0.357578,1.345303,24315.182832
4,6,0.272195,2.395630,20753.966248
8,12,0.201215,5.000490,17658.969857
16,20,0.170008,6.568597,16525.877819
32,19,0.149917,7.682885,15899.040752
64,13,0.135103,8.810347,15458.593209
128,12,0.123194,10.124368,15115.914910
256,12,0.112162,11.941532,14807.058982
512,11,0.101323,14.261402,14511.601942
1024,10,0.089591,17.013853,14199.925461
2048,7,0.075858,20.167391,13842.246488
