# 37795 training vectors. (ε = 0.0005)
M,passes,DDprm,σ,inertia
2,10,0.573923,1.461781,104651.415273
4,9,0.452692,2.209916,87592.676630
8,20,0.350300,3.429811,72803.312320
16,14,0.269835,5.703169,62381.956414
32,20,0.220494,8.688674,56965.860186
64,21,0.187264,11.409589,53660.243453
128,17,0.164517,14.327565,51478.923099
256,16,0.147364,17.207835,49901.897689
512,14,0.132488,20.091173,48567.657958
1024,12,0.118570,23.432770,47350.127949
2048,12,0.104786,27.802715,46172.135580
