# 24904 training vectors. (ε = 0.0005)
M,passes,DDprm,σ,inertia
2,3,0.269631,11.584884,41142.742906
4,11,0.189491,10.694957,35639.658182
8,11,0.154966,9.440048,33361.339092
16,10,0.136976,10.355614,32290.960120
32,9,0.125478,11.306427,31621.628745
64,11,0.116183,12.328426,31077.480919
128,14,0.108974,12.921083,30665.196434
256,12,0.102471,13.769680,30296.007915
512,13,0.095833,14.910247,29925.755367
1024,12,0.089109,16.307095,29555.059663
2048,10,0.081945,18.032881,29164.359336
