# 5287 training vectors. (ε = 0.0005)
M,passes,DDprm,σ,inertia
2,12,0.748227,1.397775,18916.640483
4,17,0.523276,3.479185,13346.997973
8,13,0.355467,6.298678,10115.102853
16,11,0.267407,9.088019,8674.127150
32,16,0.207620,13.470519,7791.712808
64,17,0.163747,19.125010,7196.260504
128,14,0.134167,25.077808,6818.239744
256,13,0.112419,32.005197,6550.717904
512,10,0.094778,40.362788,6341.638014
1024,8,0.076748,49.863068,6133.908559
2048,8,0.056648,57.562000,5907.954754
