# 19614 training vectors. (ε = 0.0005)
M,passes,DDprm,σ,inertia
2,9,0.313752,1.159784,34614.839344
4,18,0.257066,1.463964,31404.821888
8,12,0.211346,2.286955,29001.526020
16,17,0.186702,2.775965,27767.000481
32,13,0.167679,3.453911,26843.825225
64,15,0.151186,4.236269,26063.134972
128,14,0.136616,5.044474,25386.472818
256,15,0.123262,5.982925,24780.384746
512,14,0.109493,7.280810,24167.083407
1024,12,0.095685,8.889195,23562.788108
2048,10,0.081970,11.152588,22973.882765
