# 18415 training vectors. (ε = 0.0005)
M,passes,DDprm,σ,inertia
2,15,0.625948,0.823338,58881.604699
4,17,0.486721,1.521190,45924.196401
8,18,0.379195,2.472326,37677.743585
16,19,0.290571,4.228216,31714.033316
32,28,0.234351,5.945738,28539.466358
64,17,0.194703,7.945022,26536.168736
128,19,0.165871,10.116864,25168.995697
256,14,0.146661,12.246625,24300.618866
512,13,0.128999,14.761737,23526.765335
1024,11,0.112944,18.010896,22842.917693
2048,9,0.096998,22.480488,22181.912705
