M,Train Ac,Train avgAc,Test Ac,Test avgAc
512, 74.95908, 79.32982, 72.22222, 70.72383
1024, 79.003975, 83.94535, 74.62963, 71.03795
2048, 83.913956, 87.942894, 77.22222, 72.29892
4096, 87.60813, 90.20701, 77.59259, 71.597984
