N,M,a,I,Train Ac,Train avgAc,Test Ac,Test avgAc
1, 512, 0.3, 0, 76.69, 82.34, 73.8, 73.73
1, 512, 0.3, 1, 76.69, 82.34, 73.8, 73.73
1, 512, 0.3, 2, 76.69, 82.34, 73.8, 73.73
1, 512, 0.3, 5, 76.69, 82.34, 73.8, 73.73
1, 1024, 0.3, 0, 80.45, 85.39, 76.48, 72.34
1, 1024, 0.3, 1, 80.45, 85.39, 76.48, 72.34
1, 1024, 0.3, 2, 80.45, 85.39, 76.48, 72.34
1, 1024, 0.3, 5, 80.45, 85.39, 76.48, 72.34
1, 2048, 0.3, 0, 85.13, 90.62, 78.61, 73.39
1, 2048, 0.3, 1, 85.13, 90.62, 78.61, 73.39
1, 2048, 0.3, 2, 85.13, 90.62, 78.61, 73.39
1, 2048, 0.3, 5, 85.13, 90.62, 78.61, 73.39
1, 4096, 0.3, 0, 89.31, 93.78, 79.91, 74.14
1, 4096, 0.3, 1, 89.31, 93.78, 79.91, 74.14
1, 4096, 0.3, 2, 89.31, 93.78, 79.91, 74.14
1, 4096, 0.3, 5, 89.31, 93.78, 79.91, 74.14
2, 512, 0.3, 0, 78, 83.19, 74.44, 73.14
2, 512, 0.3, 1, 78.28, 83.23, 74.63, 72.25
2, 512, 0.3, 2, 78.26, 82.91, 75.19, 71.08
2, 512, 0.3, 5, 75.61, 80.79, 72.31, 69.25
2, 1024, 0.3, 0, 82.07, 86.47, 76.85, 71.56
2, 1024, 0.3, 1, 82.89, 86.96, 77.5, 70.72
2, 1024, 0.3, 2, 83.17, 86.77, 77.41, 70.63
2, 1024, 0.3, 5, 83, 86.56, 77.69, 71.24
2, 2048, 0.3, 0, 86.77, 91.58, 79.17, 73.43
2, 2048, 0.3, 1, 86.91, 91.61, 79.72, 73.73
2, 2048, 0.3, 2, 87.23, 91.63, 79.72, 73.51
2, 2048, 0.3, 5, 86.35, 89.69, 79.07, 72.88
2, 4096, 0.3, 0, 91, 94.73, 81.39, 74.73
2, 4096, 0.3, 1, 91.49, 94.96, 81.2, 74.34
2, 4096, 0.3, 2, 91.68, 94.92, 81.67, 74.57
2, 4096, 0.3, 5, 91.98, 94.79, 81.76, 74.27
3, 512, 0.3, 0, 76.69, 82.52, 75.09, 74.42
3, 512, 0.3, 1, 78.51, 83.13, 75.46, 75.15
3, 512, 0.3, 2, 77.46, 82.36, 74.26, 70.32
3, 512, 0.3, 5, 75.03, 78.96, 70.46, 68.98
3, 1024, 0.3, 0, 81.65, 86.05, 75.83, 71.11
3, 1024, 0.3, 1, 83.45, 87.61, 77.41, 71.25
3, 1024, 0.3, 2, 82.65, 86.8, 77.13, 71.05
3, 1024, 0.3, 5, 79.8, 83.72, 74.54, 66.85
3, 2048, 0.3, 0, 86.37, 91.46, 78.8, 73.25
3, 2048, 0.3, 1, 87.09, 91.75, 79.72, 73.68
3, 2048, 0.3, 2, 87.91, 92.1, 79.81, 73.97
3, 2048, 0.3, 5, 87.23, 89.55, 79.54, 72.83
3, 4096, 0.3, 0, 90.93, 94.67, 80.65, 74.09
3, 4096, 0.3, 1, 91.79, 95.12, 81.39, 74.53
3, 4096, 0.3, 2, 92.4, 95.28, 81.2, 74.41
3, 4096, 0.3, 5, 92.21, 93.96, 81.94, 73.03
4, 512, 0.3, 0, 78.42, 82.61, 75.65, 74.52
4, 512, 0.3, 1, 79.31, 83.16, 76.39, 74.46
4, 512, 0.3, 2, 77.34, 81.11, 73.24, 68.15
4, 512, 0.3, 5, 74.75, 77.47, 71.94, 67.76
4, 1024, 0.3, 0, 82.7, 87.54, 77.78, 72.64
4, 1024, 0.3, 1, 84.29, 88.42, 78.15, 72.02
4, 1024, 0.3, 2, 82.56, 85.76, 77.22, 70.98
