M,Train Ac,Train avgAc,Test Ac,Test avgAc
512, 90.0376, 79.3274, 75, 64.58681
1024, 95.36341, 88.82392, 74.2647, 64.63709
2048, 98.87218, 96.372894, 74.01961, 63.367413
4096, 100, 100, 72.79411, 65.281
