M,Train Ac,Train avgAc,Test Ac,Test avgAc
32, 67.35589, 71.256905, 68.62746, 70.1333
64, 73.93484, 76.00252, 70.83333, 69.71739
128, 77.7569, 80.355606, 73.77451, 74.71188
256, 81.57895, 85.09587, 77.20589, 77.7482
512, 85.150375, 88.23832, 77.94118, 75.30843
1024, 88.84712, 91.42491, 78.67647, 73.87258
2048, 91.9173, 93.07897, 79.411766, 71.4813
4096, 93.85965, 92.70815, 79.411766, 71.724815
