# 1683 training vectors. (ε = 0.0005)
M,passes,DDprm,σ,inertia
2,3,0.196876,20.761504,2453.507630
4,7,0.160565,12.921640,2281.261324
8,11,0.127535,14.667263,2143.073921
16,7,0.114406,15.270649,2092.048829
32,11,0.105381,16.830654,2057.902314
64,11,0.095750,18.466694,2021.732437
128,13,0.087779,20.216322,1992.331641
256,12,0.079174,21.670724,1960.829457
512,7,0.069516,23.315203,1925.956819
1024,6,0.057583,25.389157,1883.240275
2048,5,0.041046,32.036936,1825.011428
