# 19283 training vectors. (ε = 0.0005)
M,passes,DDprm,σ,inertia
2,12,0.381615,1.425139,40705.750567
4,9,0.292325,2.307592,34202.446112
8,10,0.228388,3.617533,29815.265855
16,13,0.193975,4.405681,27848.849913
32,17,0.167271,5.600097,26480.185189
64,16,0.149064,6.649470,25591.987679
128,14,0.134471,7.876127,24900.259026
256,14,0.122535,9.119607,24354.532784
512,12,0.111223,10.673916,23847.232224
1024,10,0.099942,12.617784,23352.876320
2048,9,0.087205,15.509168,22808.144959
