N,M,a,I,Train Ac,Train avgAc,Test Ac,Test avgAc
1, 512, 1, 60, 76.2, 81.76, 71.3, 64.54
1, 1024, 1, 60, 80.62, 85.24, 73.98, 65.81
2, 512, 1, 60, 74.05, 77.82, 67.41, 58.92
2, 1024, 1, 60, 78.44, 82.5, 70.19, 59.97
3, 512, 1, 60, 74.21, 80.36, 69.17, 63.63
3, 1024, 1, 60, 79.31, 84.44, 72.69, 64.52
4, 512, 1, 60, 78.21, 83.19, 72.59, 61.52
4, 1024, 1, 60, 82.56, 84.96, 74.91, 63.02
5, 512, 1, 60, 80.29, 83.8, 74.72, 64.58
5, 1024, 1, 60, 85.04, 87, 76.02, 62.33
1, 2048, 1, 60, 85.11, 89.51, 76.57, 65.5
2, 2048, 1, 60, 81.93, 86.67, 73.8, 61.03
3, 2048, 1, 60, 83, 87.87, 73.15, 60.94
4, 2048, 1, 60, 86.46, 88.12, 75.37, 58.77
5, 2048, 1, 60, 88.5, 90.85, 76.85, 61.18
10, 2048, 1, 60, 91.65, 90.85, 77.04, 60.78
2, 512, 1, 120, 74.47, 77.63, 67.96, 61.23
2, 1024, 1, 120, 78.19, 82.49, 70.46, 60.21
2, 2048, 1, 120, 82.32, 86.48, 73.15, 61.69
2, 4096, 1, 120, 87.07, 90.85, 76.3, 61.33
3, 512, 1, 120, 75.94, 81.38, 68.15, 61.87
3, 1024, 1, 120, 81.16, 85.8, 73.7, 62.91
3, 2048, 1, 120, 82.89, 86.16, 73.8, 60.57
3, 4096, 1, 120, 88.36, 91.41, 75.46, 61.39
4, 512, 1, 120, 78.35, 84.2, 72.04, 64.28
4, 1024, 1, 120, 82.28, 86.77, 75.56, 64.96
4, 2048, 1, 120, 85.81, 88.68, 74.63, 59.41
4, 4096, 1, 120, 90.11, 92.61, 76.48, 61.98
5, 512, 1, 120, 82.21, 86.61, 74.54, 63.62
5, 1024, 1, 120, 83.68, 85.79, 76.67, 62.77
5, 2048, 1, 120, 87.82, 90.86, 76.67, 59.95
5, 4096, 1, 120, 90.23, 91.4, 76.39, 58.64
6, 512, 1, 120, 81.93, 85.88, 75.74, 64.2
6, 1024, 1, 120, 86.23, 89.39, 77.87, 65.12
6, 2048, 1, 120, 90.13, 90.69, 77.41, 60.61
6, 4096, 1, 120, 91.3, 92.5, 75.74, 58.06
7, 512, 1, 120, 83.1, 85.4, 76.57, 61.93
7, 1024, 1, 120, 87.84, 89.43, 78.61, 61.32
7, 2048, 1, 120, 90.2, 90.13, 78.8, 61.6
7, 4096, 1, 120, 91.86, 92.29, 75.28, 57.53
8, 512, 1, 120, 84.57, 85.55, 75.93, 64.18
8, 1024, 1, 120, 88.17, 89, 78.61, 60.76
8, 2048, 1, 120, 91.14, 90.91, 77.22, 59.72
8, 4096, 1, 120, 93.17, 93.43, 78.06, 59.79
9, 512, 1, 120, 85.74, 86.3, 76.85, 62.26
9, 1024, 1, 120, 87.98, 88.31, 77.31, 60.81
9, 2048, 1, 120, 91.35, 91.29, 78.06, 59.27
9, 4096, 1, 120, 93.92, 93.77, 76.2, 57.48
10, 512, 1, 120, 85.18, 85.35, 75.74, 62.11
10, 1024, 1, 120, 89.1, 89.98, 77.31, 61.58
10, 2048, 1, 120, 91.98, 91.46, 78.15, 59.88
10, 4096, 1, 120, 94.69, 94.18, 78.06, 58.78
11, 512, 1, 120, 86.51, 87.03, 76.67, 63.51
11, 1024, 1, 120, 87.56, 88.18, 76.85, 59.72
11, 2048, 1, 120, 92.78, 91.51, 78.33, 60.24
11, 4096, 1, 120, 93.97, 93.98, 76.76, 58.14
12, 512, 1, 120, 86.53, 86.61, 77.41, 61.25
12, 1024, 1, 120, 88.87, 87.02, 77.41, 60.75
12, 2048, 1, 120, 93.5, 94.03, 77.87, 57.98
12, 4096, 1, 120, 95.04, 95.21, 77.31, 59.29
13, 512, 1, 120, 86.98, 85.18, 75.37, 58.52
13, 1024, 1, 120, 89.92, 89.43, 77.41, 60.24
13, 2048, 1, 120, 93.24, 92.98, 79.54, 62.48
13, 4096, 1, 120, 96.33, 96.08, 77.78, 59.12
14, 512, 1, 120, 86.86, 86.04, 77.04, 61.44
14, 1024, 1, 120, 91.12, 88.63, 78.33, 59.7
14, 2048, 1, 120, 92.52, 92.9, 78.43, 60.27
14, 4096, 1, 120, 96.14, 96.51, 76.48, 58.26
15, 512, 1, 120, 87.84, 84.41, 77.31, 57.64
15, 1024, 1, 120, 90.3, 88.96, 78.33, 57.61
15, 2048, 1, 120, 94.41, 94.5, 79.44, 60.46
15, 4096, 1, 120, 95.86, 96.34, 77.04, 59.38
16, 512, 1, 120, 87.28, 85.43, 76.94, 60.46
16, 1024, 1, 120, 90.58, 90.93, 77.13, 58.15
16, 2048, 1, 120, 94.46, 93.86, 78.43, 59.69
16, 4096, 1, 120, 96.68, 96.34, 77.96, 59.58
17, 512, 1, 120, 87.49, 82.95, 77.41, 59.43
17, 1024, 1, 120, 90.86, 89.6, 77.69, 58.51
17, 2048, 1, 120, 94.48, 93.21, 78.52, 58.4
17, 4096, 1, 120, 96.94, 96.96, 77.87, 58.56
18, 512, 1, 120, 87.65, 85.6, 77.13, 59.96
18, 1024, 1, 120, 91.56, 90.63, 79.17, 59.19
18, 2048, 1, 120, 94.13, 92.43, 77.5, 58.11
18, 4096, 1, 120, 97.01, 96.76, 78.61, 59.74
19, 512, 1, 120, 87.94, 85.84, 76.02, 57.69
19, 1024, 1, 120, 90.67, 88.04, 76.2, 56.16
19, 2048, 1, 120, 94.55, 93.52, 77.87, 59.49
19, 4096, 1, 120, 96.89, 97.18, 78.52, 61.57
20, 512, 1, 120, 89.6, 88.25, 77.69, 61.18
20, 1024, 1, 120, 91.79, 89.55, 79.17, 59.96
20, 2048, 1, 120, 95.74, 95.2, 79.44, 61.52
20, 4096, 1, 120, 97.24, 96.98, 78.15, 58.81
