# 14278 training vectors. (ε = 0.0005)
M,passes,DDprm,σ,inertia
2,10,0.545201,0.717166,41163.501679
4,15,0.427175,1.509033,32145.238609
8,25,0.307776,3.089334,25648.265763
16,10,0.257178,4.266817,23170.151454
32,17,0.205978,6.238811,21042.103115
64,16,0.170547,8.562947,19701.564412
128,16,0.143091,11.737948,18727.574984
256,15,0.121773,14.498619,18000.873877
512,12,0.105945,17.944180,17482.752077
1024,11,0.091933,22.346132,17036.252173
2048,9,0.077748,26.680199,16594.062180
