# 29008 training vectors. (ε = 0.0005)
M,passes,DDprm,σ,inertia
2,10,0.255857,1.375799,46327.053801
4,6,0.204124,1.964002,42473.872749
8,14,0.171966,2.547498,40064.068384
16,15,0.153597,3.226063,38758.672623
32,18,0.140410,3.690632,37838.751395
64,14,0.129179,4.388536,37066.637237
128,13,0.120301,4.905286,36466.054716
256,12,0.112170,5.557034,35924.700417
512,12,0.103784,6.287118,35373.909318
1024,13,0.094453,7.327146,34769.641903
2048,10,0.084626,8.672776,34141.954158
